"Study.Num","replicate","Segment","WC","Analytic","Clout","Authentic","Tone","WPS","Sixltr","Dic","function.","pronoun","ppron","i","we","you","shehe","they","ipron","article","prep","auxverb","adverb","conj","negate","verb","adj","compare","interrog","number","quant","affect","posemo","negemo","anx","anger","sad","social","family","friend","female","male","cogproc","insight","cause","discrep","tentat","certain","differ","percept","see","hear","feel","bio","body","health","sexual","ingest","drives","affiliation","achieve","power","reward","risk","focuspast","focuspresent","focusfuture","relativ","motion","space","time","work","leisure","home","money","relig","death","informal","swear","netspeak","assent","nonflu","filler","AllPunc","Period","Comma","Colon","SemiC","QMark","Exclam","Dash","Quote","Apostro","Parenth","OtherP"
1,"0",1,12255,97.59,48.56,20.55,26.58,22.78,30.06,64.18,37.96,2.82,0.45,0.03,0,0,0.01,0.41,2.37,10.3,12.89,4.32,2.06,5.78,0.95,7.08,2.95,1.89,0.72,9.49,1.41,1.53,0.5,0.45,0.01,0.14,0.08,3.82,0.01,0,0.16,0.01,13.35,5.15,5.15,0.55,1.54,0.4,3.2,5.56,4.66,0.46,0.16,0.34,0.2,0.06,0,0.08,3.09,0.61,1.2,1.01,0.53,0.39,3.45,2.85,0.49,8.24,0.58,5.84,1.88,1.59,0.2,0.02,0.13,0.01,0,0.17,0,0.16,0.02,0.01,0,21.48,5.21,8.33,0.02,0.6,0.02,0,0.61,0.26,0.09,5.67,0.67
3,"0",1,15310,97.37,50.16,23.32,26.53,16.25,27.3,61.5,34.54,3.32,0.65,0.03,0.39,0.03,0,0.2,2.68,8.29,12.95,4.21,1.77,4.42,0.79,6.72,4.72,2.7,0.58,9.48,1.76,1.72,0.88,0.84,0.07,0.03,0.44,2.89,0.03,0.01,0.33,0.02,11.54,4.36,3.25,0.6,1.28,0.89,2.45,1.06,0.49,0.05,0.18,0.12,0.07,0.03,0,0.01,5.34,1.03,1.43,2.66,0.19,0.27,2.7,2.74,0.28,10.4,0.68,6.43,3.16,4.24,0.03,0.04,0.88,0.04,0.01,0.46,0,0.4,0.12,0.01,0,29.23,7.75,10.78,0.5,0.48,0.04,0,2.36,0.07,0.05,6.02,1.19
4,"0",1,4537,94.67,42.99,24.16,39.57,25.63,32.22,67.6,38.37,4.52,0.75,0,0.29,0,0,0.46,3.77,6.83,14.19,6,2.71,4.63,1.06,10.32,4.94,3.53,0.6,7.47,2.01,2.71,1.74,0.97,0.51,0.04,0.22,2.56,0,0,0.02,0.02,14.15,5.93,3.31,1.06,2.47,0.73,3.48,0.57,0.42,0.04,0,0.07,0,0,0,0.07,6.37,0.46,2.91,1.87,0.99,0.79,3.72,5.64,0.71,8.44,0.95,3.55,4.17,4.58,0.02,0,0.24,0,0,1.43,0.07,1.32,0,0.04,0,22.44,5.11,8.22,0.35,0.4,0,0,2.82,0.04,0.04,4.12,1.32
5,"0",1,4500,95.18,42.93,25.83,44.48,23.32,28.31,72.18,44.44,5.02,0.73,0,0.33,0,0.04,0.36,4.29,9.13,15.42,6.91,2.82,6.18,0.82,9.27,6.4,5.13,1.11,3.87,1.8,2.27,1.64,0.62,0.11,0.24,0.16,2.22,0,0.09,0.16,0,13.76,2.96,5.18,0.6,2.2,0.91,3.51,3.22,1.2,0,0.16,0.11,0.02,0.04,0,0.04,3.09,0.47,1.04,1.02,0.78,0.38,3.98,4.22,1.13,11.29,0.62,7.36,3.11,4.44,0.07,0.02,0.51,0,0,0.53,0,0.44,0,0.09,0,17.22,4.69,6.13,0.09,0.38,0.02,0,0.53,0.04,0.29,4.4,0.64
6,"1",1,10969,95.21,51.9,26.44,23.35,26.69,25.43,70.29,41.95,4.81,0.86,0.03,0.46,0,0.02,0.35,3.96,8.43,14.84,6.6,2.63,5.67,0.72,9.34,5.48,3.15,0.83,5.2,2.41,3.09,1.46,1.61,0.52,0.1,0.87,3.56,0,0,0.36,0.02,13.63,4.87,3.86,0.64,1.53,1.28,2.8,1.27,0.67,0.32,0.08,0.17,0.09,0.04,0.01,0.05,4.65,1.11,0.53,2.28,0.45,0.58,3.67,5.13,1.03,10.18,0.82,5.58,3.94,2.2,0.05,0.01,0.34,0,0.08,1.22,0.01,1.16,0.67,0.01,0,20.69,4.88,7.04,0.33,0.68,0.05,0,0.77,0.2,0.28,5.57,0.88
7,"0",1,5590,97.36,44.53,25.88,28.75,23.69,29.77,68.59,39.48,3.56,0.52,0.05,0.18,0,0,0.29,3.04,10.04,13.74,4.99,2.25,5.51,0.75,7.91,6.89,4.74,0.82,6.06,2.84,1.54,0.86,0.68,0.04,0.07,0.43,2.77,0,0.02,0,0,14.04,4.01,3.85,0.88,3.04,1.07,3.52,1.5,1.27,0.16,0,0.21,0.02,0.11,0,0.09,4.19,0.63,1.54,1.86,0.41,0.23,2.7,4.7,0.72,10.41,0.72,7.41,2.08,2.84,0.14,0.05,0.41,0.02,0.04,0.2,0,0.13,0.04,0.07,0,17.85,4.83,6.17,0.25,0.63,0.05,0,1.06,0.29,0.16,3.79,0.63
8,"0",1,14789,94.93,53.81,23.86,35.7,27.44,32.66,71.89,40.08,5.5,1.41,0.02,0.6,0.1,0.01,0.68,4.09,9.01,13.42,5.17,3.12,5.35,0.85,9.28,4.14,3.22,1.33,5.63,1.7,1.47,1,0.43,0.07,0.05,0.16,4.89,0.01,0.01,0.02,0.03,20.93,6.98,7.01,1.02,2.87,0.95,3.77,1.15,0.68,0.05,0.17,1.17,0.09,0.96,0.07,0.05,4.88,0.97,0.65,2.97,0.32,0.32,5.11,4.3,1.17,6.98,0.32,4.07,2.56,4.41,0.06,0.01,0.72,0.04,0.01,0.18,0,0.12,0.04,0.05,0,21.02,5.18,7.07,0.31,0.43,0.07,0,2.24,0.3,0.38,4.19,0.85
10,"1",1,5012,98.45,48.8,25.66,36.66,25.06,29.17,67.24,39.33,3.17,0.84,0,0.52,0,0,0.32,2.33,10.18,15.4,4.45,2.25,5.25,0.48,6.74,9.22,7.5,0.94,8,1.9,1.4,0.98,0.36,0.04,0.08,0.02,3.71,0,0,0.18,0,11.49,2.89,3.33,0.52,1.38,0.48,4.05,1.32,1,0.08,0.06,0.84,0,0.84,0,0,3.51,0.74,0.66,1.86,0.36,0.1,3.89,2.97,0.34,10.65,0.76,7.42,2.45,3.01,0.42,0.02,0.2,0.02,0,0.96,0,0.54,0.38,0.58,0,21.85,4.61,9.08,0.12,0.2,0,0,1.8,0.68,0.32,4.51,0.54
11,"1",1,9923,95.81,60.66,40.32,25.61,27.41,34.88,65.69,36.09,4.05,0.99,0,0.7,0,0.01,0.28,3.06,6.03,14.56,4.71,2.16,5.33,0.61,7.93,5.72,4.01,0.54,6.12,2.72,1.8,0.9,0.91,0.39,0.17,0.2,5.55,0.02,2.7,0.09,0.01,14.14,4.82,4.74,0.41,1.7,1.47,2.93,0.95,0.59,0.16,0.02,0.53,0.04,0.36,0,0.13,7.15,4.22,0.6,1.61,0.48,0.48,2.64,3.79,0.33,12.2,0.95,10.16,1.28,2.56,0.07,2.73,0.11,0,0.01,0.5,0,0.4,0.29,0.03,0,22.96,5.07,6.32,0.19,0.94,0.05,0,1.65,0.6,0.19,5.6,2.34
12,"0",1,4327,96.64,46.95,29.52,41.66,29.64,28.98,66,36.54,3.91,0.79,0,0.23,0,0,0.55,3.12,7.86,13.8,5.41,1.69,4.65,0.83,7.9,5.62,3.77,0.65,5.45,1.8,1.99,1.39,0.51,0.05,0.16,0.16,3.05,0,0.02,0.02,0.05,14.65,6.47,3.58,0.74,1.73,0.79,3.21,2.47,0.67,1.48,0.23,0.12,0.05,0.05,0,0.07,2.82,0.6,1.11,1.11,0.44,0.12,3.44,4.25,0.42,8.83,0.53,4.71,3.19,3.54,0.07,0,1.09,0,0,0.21,0,0.14,0.07,0,0,23.92,5.25,7.9,0.39,0.86,0,0,2.52,0.6,0.07,5.34,0.99
